Location,London borough,Post town,Postcodedistrict,Dial code,OSgridref
Abbey Wood,"Bexley, Greenwich",LONDON,SE2,20,TQ465785
Acton,"Ealing, Hammersmith and Fulham",LONDON,W3,20,TQ205805
Addington,Croydon,CROYDON,CR0,20,TQ375645
Addiscombe,Croydon,CROYDON,CR0,20,TQ345665
Albany Park,Bexley,"BEXLEY, SIDCUP",DA5,20,TQ478728
Aldborough Hatch,Redbridge,ILFORD,IG2,20,TQ455895
Aldgate,City,LONDON,EC3,20,TQ334813
Aldwych,Westminster,LONDON,WC2,20,TQ307810
Alperton,Brent,WEMBLEY,HA0,20,TQ185835
Anerley,Bromley,LONDON,SE20,20,TQ345695
Angel,Islington,LONDON,EC1,20,TQ345665
Aperfield,Bromley,WESTERHAM,TN16,1959,TQ425585
Archway,Islington,LONDON,N19,20,TQ285875
Ardleigh Green,Havering,HORNCHURCH,RM11,1708,TQ535895
Arkley,Barnet,"BARNET, LONDON",EN5,20,TQ225955
Arnos Grove,Enfield,LONDON,N11,20,TQ295925
Balham,Wandsworth,LONDON,SW12,20,TQ285735
Bankside,Southwark,LONDON,SE1,20,TQ325795
Barbican,City,LONDON,EC1,20,TQ322818
Barking,Barking and Dagenham,BARKING,IG11,20,TQ440840
Barkingside,Redbridge,ILFORD,IG6,20,TQ445895
Barnehurst,Bexley,BEXLEYHEATH,DA7,1322,TQ505755
Barnes,Richmond upon Thames,LONDON,SW13,20,TQ225765
Barnes Cray,Bexley,DARTFORD,DA1,1322,TQ525755
Barnet Gate,Barnet,"LONDON, BARNET",NW7,20,TQ218952
Barnet,Barnet,BARNET,EN5,20,TQ245955
High Barnet,Barnet,BARNET,EN5,20,TQ245955
Chipping Barnet,Barnet,BARNET,EN5,20,TQ245955
Barnsbury,Islington,LONDON,N1,20,TQ305845
Battersea,Wandsworth,LONDON,SW11,20,TQ285765
Bayswater,Westminster,LONDON,W2,20,TQ255805
Beckenham,Bromley,"BECKENHAM, LONDON",BR3,20,TQ375695
Beckton,Newham,"LONDON, BARKING",E6,20,TQ435815
Becontree,Barking and Dagenham,DAGENHAM,RM9,20,TQ485855
Becontree Heath,Barking and Dagenham,DAGENHAM,RM8,20,TQ493871
Beddington,Sutton,"WALLINGTON, CROYDON",SM6,20,TQ305655
Bedford Park,Ealing,LONDON,W4,20,TQ208793
Belgravia,Westminster,LONDON,SW1,20,TQ283792
Bellingham,Lewisham,LONDON,SE6,20,TQ375715
Belmont,Harrow,"HARROW, STANMORE",HA3,20,TQ165905
Belmont,Sutton,SUTTON,SM2,20,TQ253620
Belsize Park,Camden,LONDON,NW3,20,TQ273845
Belvedere,Bexley,BELVEDERE,DA17,20,TQ495785
Bermondsey,Southwark,LONDON,SE1,20,TQ335795
Berrylands,Kingston upon Thames,SURBITON,KT5,20,TQ195675
Bethnal Green,Tower Hamlets,LONDON,E2,20,TQ345825
Bexley,Bexley,BEXLEY,DA5,20,TQ465755
Old Bexley,Bexley,BEXLEY,DA5,20,TQ465755
Bexley Village,Bexley,BEXLEY,DA5,20,TQ465755
Bexleyheath,Bexley,"BEXLEYHEATH, LONDON",DA6,20,TQ485755
Bexley New Town,Bexley,"BEXLEYHEATH, LONDON",DA6,20,TQ485755
Bickley,Bromley,BROMLEY,BR3,20,TQ423688
Biggin Hill,Bromley,WESTERHAM,TN16,1959,TQ418590
Blackfen,Bexley,SIDCUP,DA15,20,TQ455745
Blackfriars,City,LONDON,EC4,20,TQ318808
Blackheath,Lewisham,LONDON,SE3,20,TQ395765
Blackheath Royal Standard,Greenwich,LONDON,SE3,20,TQ399753
Blackwall,Tower Hamlets,LONDON,E14,20,TQ385805
Blendon,Bexley,BEXLEY,DA5,20,TQ478742
Bloomsbury,Camden,LONDON,WC1,20,TQ299820
Botany Bay,Enfield,ENFIELD,EN2,20,TQ297992
Bounds Green,Haringey,LONDON,N11,20,TQ298914
Bow,Tower Hamlets,LONDON,E3,20,TQ365825
